form	POS
om̐	interj
śrī	adj
ganeśāya	n
namaḥ	skt
||	punc

||	punc

purā	adv.temp
pūrbakāla	n
sa	case.loc.inan
.	punc

siṃhanāda	n
parbata	n
sa	case.loc.inan
samīpa	n
sa	case.loc.inan
coṅa	v.impst
.	punc

deśa	n
chagulī	n
dasyaṃ	v.co
coṅa	v.impst
.	punc

thva	d.dem
deśa	n
yā	case.gen
nāma	n
śrī	adj
kanthapūri	n
dhakaṃ	v.dhak
nāma	n
prakhyānti	adj
yāṅaṃ	v.co
coṅa	v.impst
||	punc

thva	d.dem
deśa	n
yā	case.gen
baniyā	n
ratnadatta	v.impst
dhaka	v.dhak
nāma	n
jusyaṃ	v.co
coṅa	v.impst
.	punc

thva	d.dem
baniyā	n
yā	case.gen
strī	n
yā	case.gen
nāma	n
madanābati	adj
.	punc

thva	d.dem
ni	num
mha	cs.anim
strī	n
puruṣa	n
samadhāra	n
yāka	v.impst
.	punc

bho	interj
chi	num
garbhābatī	n
.	punc

chejesa	n
byāpāla	n
ma	neg
yāsyaṃ	v.co
gathye	adv.inter
yāya	v.n
.	punc

byāpāla	n
ma	neg
yā	case.gen
ma	neg
gāka	v.impst
.	punc

ji	p.pers
banaja	n
vane	v.n
jula	v.perf.past
.	punc

chana	p.pers
che	n
sa	case.loc.inan
nidā	n
na	case.erg
yāva	v.ipv
dhakaṃ	v.dhak
hāṅaṃ	n
tāthāva	cv.ant
.	punc

thama	p.refl
na	case.erg
banaja	n
oṅa	v.impst
juro	v.perf.past
||	punc

vaṅāva	cv.ant
.	punc

anega	d.quant
bastubhāba	n
banaja	n
jvaṅāva	cv.ant
coṅaṃ	v.co
julo	v.perf.past
||	punc

thanaṃ	adv.conj
li	cv.anter
cha	num
nhu	cs.time
yā	case.gen
dīna	n
sa	case.loc.inan
.	punc

thuguli	p.indef
deśa	n
yā	case.gen
.	punc

meba	adj
baniyā	n
cha	num
mha	cs.anim
.	punc

thva	d.dem
yā	case.gen
thāya	n
sa	case.loc.inan
vaṅāva	cv.ant
thithi	n
bicāra	n
yāṅāva	cv.ant
.	punc

pi	adv.dir
lā	cs.time
cyā	n
lā	n
dayakāva	cv.ant
.	punc

lithe	adj
thva	d.dem
baniyā	n
ratnadattanaṃ	v.perf.past
dhālaṃ	v.perf.past
||	punc

aye	v.n
pāsā	n
āva	adv.temp
chi	num
lihā	adv.dir
jhāya	v.n
tela	n
lā	cl.inter
.	punc

telasā	cv.cond
.	punc

ji	p.pers
cheyāta	n
khare	v.n
ma	neg
du	v.impst
.	punc

misājāta	n
ekāta	n
na	case.erg
chu	p.indef
yāyu	v.perf.part
.	punc

āva	adv.temp
thva	d.dem
ratna	n
cha	num
tā	cs.abs
chana	p.pers
yane	v.n
māla	v.perf.past
dhaka	v.dhak
dhāsyaṃ	cv.as
.	punc

thva	d.dem
ratna	n
biyāva	cv.ant
chotaṃ	v.perf.past
.	punc

thva	d.dem
ratna	n
jvaṅāo	cv.ant
thava	p.refl
che	n
lihā	adv.dir
vaṅa	v.impst
juro	v.perf.past
||	punc

thva	d.dem
baniyānaṃ	adv.conj
ratna	n
tha	adv.deg
pakāva	cv.ant
kālaṃ	v.perf.past
||	punc

thanaṃ	adv.conj
li	cv.anter
lithe	adj
thva	d.dem
ratnadatta	n.prop
baniyā	n
.	punc

thava	p.refl
che	p.pers
lihāṃ	v.co
oyāva	cv.ant
.	punc

thava	p.refl
kalāta	n
garbhābati	n
yāke	case.loc.an
ṅaṅāo	cv.ant
ye	v.n
garbhābati	v.perf.past
.	punc

chana	p.pers
ta	case.dat
bisyaṃ	v.co
ha	n
yā	case.gen
ratna	n
.	punc

ji	p.pers
na	case.erg
svaya	v.n
hiva	v.np
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thana	adv.man
garbhābatī	n
dhāyā	v.perf.part
.	punc

bho	interj
chi	num
prabhū	n
sa	case.loc.inan
